VSO Amount,Days Until Unlock,Date of Unlock,Cummulative VSO Unlocks
16866662,0,10/17/2021,16866662
1791664,14,10/31/2021,18658326
1004165,15,11/1/2021,19662491
1791664,44,11/30/2021,21454155
983332,45,12/1/2021,22437487
1791664,75,12/31/2021,24229151
983332,76,1/1/2022,25212483
1791664,106,1/31/2022,27004147
983332,107,2/1/2022,27987479
1791664,134,2/28/2022,29779143
983332,135,3/1/2022,30762475
1791664,165,3/31/2022,32554139
983332,166,4/1/2022,33537471
1791664,195,4/30/2022,35329135
983332,196,5/1/2022,36312467
1791664,226,5/31/2022,38104131
4150006,227,6/1/2022,42254137
416665,256,6/30/2022,42670802
416665,287,7/31/2022,43087467
416665,318,8/31/2022,43504132
416665,348,9/30/2022,43920797
