VSO Amount,Days Until Unlock
170833.0,332
170833.0,302
170833.0,271
170833.0,240
170833.0,210
170833.0,179
170833.0,149
170833.0,118
170833.0,90
170833.0,59
170833.0,28
170833.0,0
16666.0,332
16666.0,302
16666.0,271
16666.0,240
16666.0,210
16666.0,179
16666.0,149
16666.0,118
16666.0,90
16666.0,59
16666.0,28
16666.0,0
12500.0,332
12500.0,302
12500.0,271
12500.0,240
12500.0,210
12500.0,179
12500.0,149
12500.0,118
12500.0,90
12500.0,59
12500.0,28
12500.0,0
8333.0,332
8333.0,302
8333.0,271
8333.0,240
8333.0,210
8333.0,179
8333.0,149
8333.0,118
8333.0,90
8333.0,59
8333.0,28
8333.0,0
208333.0,332
208333.0,302
208333.0,271
208333.0,240
208333.0,210
208333.0,179
208333.0,149
208333.0,118
208333.0,90
208333.0,59
208333.0,28
208333.0,0
250000.0,210
250000.0,179
250000.0,149
250000.0,118
250000.0,90
250000.0,59
250000.0,28
250000.0,0
250000.0,0
250000.0,0
250000.0,0
250000.0,0
916666.0,210
916666.0,179
916666.0,149
916666.0,118
916666.0,90
916666.0,59
916666.0,28
916666.0,0
916666.0,0
916666.0,0
916666.0,0
916666.0,0
208333.0,210
208333.0,179
208333.0,149
208333.0,118
208333.0,90
208333.0,59
208333.0,28
208333.0,0
208333.0,0
208333.0,0
208333.0,0
208333.0,0
1.0,0
1.0,0
158333.0,212
158333.0,181
158333.0,151
158333.0,120
158333.0,92
158333.0,61
158333.0,30
158333.0,0
208333.0,0
208333.0,0
208333.0,0
208333.0,0
3958338.0,211
791666.0,180
791666.0,150
791666.0,119
791666.0,91
791666.0,60
791666.0,29
791666.0,0
10400000.0,0
33335.0,211
33333.0,180
33333.0,150
33333.0,119
33333.0,91
33333.0,60
33333.0,29
33333.0,0
33333.0,0
33333.0,0
33333.0,0
33333.0,0
20833.0,0
